character_level,need_experience,total_experience
1,0,0
2,100,100
3,120,220
4,145,365
5,175,540
6,210,750
7,250,1000
8,300,1300
9,360,1660
10,430,2090
11,515,2605
12,615,3220
13,735,3955
14,880,4835
15,1055,5890
16,1265,7155
17,1520,8675
18,1820,10495
19,2185,12680
20,2620,15300
21,3145,18445
22,3775,22220
23,4530,26750
24,5435,32185
25,6520,38705
26,7825,46530
27,9390,55920
28,11270,67190
29,13525,80715
30,16230,96945
31,19475,116420
32,23370,139790
33,28045,167835
34,33655,201490
35,40385,241875
36,48460,290335
37,58150,348485
38,69780,418265
39,83735,502000
40,100480,602480
41,120575,723055
42,144690,867745
43,173630,1041375
44,208355,1249730
45,250025,1499755
46,300030,1799785
47,360035,2159820
48,432040,2591860
49,518450,3110310
50,622140,3732450
51,746570,4479020
52,895880,5374900
53,1075050,6449950
54,1290060,7740010
55,1548070,9288080
56,1857680,11145760
57,2229210,13374970
58,2675050,16050020
59,3210060,19260080
60,3852070,23112150
61,4622480,27734630
62,5546980,33281610
63,6656380,39937990
64,7987650,47925640
65,9585180,57510820
66,11502210,69013030
67,13802650,82815680
68,16563180,99378860
69,19875820,119254680
70,23851000,143105680
71,28621200,171726880
72,34345440,206072320
73,41214530,247286850
74,49457430,296744280
75,59348920,356093200
76,71218710,427311910
77,85462450,512774360
78,102554940,615329300
79,123065930,738395230
80,147679120,886074350
81,177214940,1063289290
82,212657930,1275947220
83,255189520,1531136740
84,306227420,1837364160
85,367472900,2204837060
86,440967480,2645804540
87,529160980,3174965520
88,635000000,3809965520
89,762000000,4571965520
90,914000000,5485965520
91,1100000000,6585965520
92,1320000000,7905965520
93,1584000000,9489965520
94,1900000000,11389965520
95,2280000000,13669965520
96,2736000000,16405965520
97,3283200000,19689165520
98,3940000000,23629165520
99,4728000000,28357165520
