enhance_item_id,enhance_item_name,attribute_type,rarity,max_stack_value,add_enhanced_value,reduce_enhanced_value,add_enhance_stamina,reduce_enhance_stamina,enhance_success_rate,weapon_hp,weapon_offense,weapon_defense,weapon_speed,weapon_critical_rate,weapon_critical_damage,weapon_fire_offence,weapon_water_offence,weapon_wind_offence,weapon_earth_offence,armor_hp,armor_offense,armor_defense,armor_speed,armor_critical_rate,armor_critical_damage,armor_fire_offence,armor_water_offence,armor_wind_offence,armor_earth_offence,accessory_hp,accessory_offense,accessory_defense,accessory_speed,accessory_critical_rate,accessory_critical_damage,accessory_fire_offence,accessory_water_offence,accessory_wind_offence,accessory_earth_offence,enhance_item_icon_path,description,completion_flag,collection_flag
1,低級強化石,normal,common,999,1,0,0,1,90,0,1,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,低品質な強化石。\n能力の伸びは悪い。,1,1
2,中級強化石,normal,rare,999,2,0,0,1,75,0,3,0,0,1,2,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,,品質の良い強化石。\nそこそこ強くなる。,1,1
3,高級強化石,normal,epic,999,3,0,0,1,60,0,5,0,0,2,4,0,0,0,0,10,0,5,0,0,0,0,0,0,0,5,3,3,1,0,0,0,0,0,0,,最高品質。\n成功すればとても強力になる。,1,1
4,火のルビー,fire,epic,999,2,0,0,1,50,0,5,0,0,4,3,5,0,0,0,15,0,7,0,0,0,5,0,0,0,8,3,3,0,0,0,5,0,0,0,,赤い宝石。\n火属性攻撃が増加する。\n武器のクリティカル率と\nアクセサリーのHPが上がりやすい。,1,1
5,水のアクアマリン,water,epic,999,2,0,0,1,50,0,5,0,0,2,6,0,5,0,0,15,0,7,0,0,0,0,5,0,0,5,3,5,0,0,0,0,5,0,0,,青い宝石。\n水属性攻撃が増加する。\n武器のクリティカルダメージと\nアクセサリーの防御が\n上がりやすい。,1,1
6,風のエメラルド,wind,epic,999,2,0,0,1,50,0,5,0,0,2,3,0,0,5,0,15,0,7,0,0,0,0,0,5,0,5,3,3,2,0,0,0,0,5,0,,緑色の宝石。\n風属性攻撃が増加する。\nアクセサリーの速度が\n上がりやすい。,1,1
7,土のトパーズ,earth,epic,999,2,0,0,1,50,0,10,0,0,2,3,0,0,0,5,15,0,7,0,0,0,0,0,0,5,5,5,3,0,0,0,0,0,0,5,,橙色の宝石。\n土属性攻撃が増加する。\n武器の攻撃力と\nアクセサリーの攻撃力が\n上がりやすい。,1,1
8,耐久復元砥石,normal,epic,999,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,装備の強化耐久を\n完全に復元する。\n超レア。,1,1
9,初期化石,normal,epic,999,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,装備の強化値を\n初期化する。\nいつ使うんだ？,1,1
10,赤石,fire,rare,999,1,0,0,1,65,0,2,0,0,1,2,3,0,0,0,6,0,2,0,0,0,2,0,0,0,2,1,1,0,0,0,2,0,0,0,,赤い石。\n火属性を強化出来る。\nステータスの伸びは平凡。,1,1
11,青石,water,rare,999,1,0,0,1,65,0,2,0,0,1,2,0,3,0,0,6,0,2,0,0,0,0,2,0,0,2,1,1,0,0,0,0,2,0,0,,青い石。\n水属性を強化出来る。\nステータスの伸びは平凡。,1,1
12,緑石,wind,rare,999,1,0,0,1,65,0,2,0,0,1,2,0,0,3,0,6,0,2,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,2,0,,緑色の石。\n風属性を強化出来る。\nステータスの伸びは平凡。,1,1
13,命石,earth,rare,999,1,0,0,1,65,0,2,0,0,1,2,0,0,0,3,6,0,2,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,2,,黄色い石。\n土属性を強化出来る。\nステータスの伸びは平凡。,1,1
14,黒マテリア,normal,epic,999,5,0,0,1,20,0,25,0,1,10,20,0,0,0,0,45,0,20,1,0,0,0,0,0,0,15,10,10,2,0,0,0,0,0,0,,深く光る黒い宝石。\n絶大な効果を誇るが\n強化成功率が極めて低い。,1,1
15,白マテリア,normal,epic,999,1,0,1,0,60,0,5,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,,純白に煌めく宝石。\n武器の強化耐久が増える\n不思議な効果を持つ。,1,1
16,ダークマター,normal,rare,999,1,0,0,1,70,0,8,0,0,2,4,0,0,0,0,7,0,3,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,,黒い水晶。\n武器の強化に向いてる。,1,1
17,クリスタルの欠片,normal,rare,999,1,0,0,1,70,0,3,0,0,1,1,0,0,0,0,7,0,3,0,0,0,0,0,0,0,6,4,4,1,0,0,0,0,0,0,,クリスタルの破片。\nアクセサリーの強化に\n向いている。,1,1
18,隕石の欠片,normal,rare,999,1,0,0,1,70,0,3,0,0,1,1,0,0,0,0,13,0,6,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,,赤い隕石の破片。\n防具の強化に向いている。,1,1
