equipment_id,equipment_name,equipment_type,rarity,base_enhanced_value,max_enhanced_value,min_enhanced_value,base_enhance_stamina,max_enhance_stamina,min_enhance_stamina,base_enhance_success_rate,hp,offense,defense,speed,critical_rate,critical_damage,fire_offence,water_offence,wind_offence,earth_offence,equipment_unlock_skill_id,equipment_unlock_skill_enhanced_value,equipment_unlock_character_id,equipment_unlock_character_enhanced_value,equipment_icon_path,description,completion_flag,collection_flag
1,初心者の剣,weapon,common,0,999,0,100,100,0,0,0,1,0,0,10,50,0,0,0,0,,,,,,初心者が使う剣。\n最低限の攻撃力がある。,1,1
2,初心者の鎧,armor,common,0,999,0,100,100,0,0,5,0,1,0,0,0,0,0,0,0,,,,,,初心者が使う鎧。\n最低限の防御力がある。,1,1
3,古びた首飾り,accessory,common,0,999,0,100,100,0,0,0,0,0,1,0,0,5,0,0,0,,,,,,古い装飾品。\nわずかに温かい。,1,1
4,火のダガー,weapon,rare,0,999,0,100,100,0,0,0,5,0,1,15,50,15,0,0,0,1,15,,,,炎を纏うダガー。\n火属性攻撃が高く、\n速度も上がる。,1,1
5,赤銅の盾,armor,rare,0,999,0,100,100,0,0,20,0,5,0,0,0,10,0,0,0,,,,,,赤い銅の大盾。\n火属性攻撃が\n上がる珍しい防具。,1,1
6,新緑の葉,accessory,rare,0,999,0,100,100,0,0,2,2,2,3,0,0,0,0,10,0,,,,,,ただの葉っぱ\nの様に見える。\n風属性攻撃と\n速度が上がる。,1,1
7,バルムンク,weapon,epic,0,999,0,100,100,0,0,0,25,0,0,30,75,0,0,0,30,,,,,,洗練された形の剣。\n土属性攻撃がとても高く、\n基本性能が優秀。,1,1
8,巨大な斧槍,weapon,rare,0,999,0,100,100,0,0,0,15,0,0,5,75,0,0,0,0,,,,,,とても大きい斧槍。\n当たりどころが良ければ\n大ダメージが期待出来る。,1,1
9,チェーンメイル,armor,rare,0,999,0,100,100,0,0,15,0,10,0,0,0,0,10,0,0,,,,,,冷たくて気持ちい\nチェーンメイル。\n水属性攻撃が上がる。,1,1
10,水神の剣,weapon,epic,0,999,0,100,100,0,0,0,20,0,0,45,60,0,30,0,0,,,,,,水の神を宿す剣。\nクリティカル率と\n水属性攻撃がとても高い。,1,1
11,バリアリング,accessory,rare,0,999,0,100,100,0,0,5,0,15,0,0,0,0,0,0,0,,,,,,バリアを貼るリング。\n防御がとても上がる。,1,1
12,上級騎士の兜,armor,rare,0,999,0,100,100,0,0,25,0,20,0,0,0,0,0,0,0,,,,,,上級騎士の兜。\n硬く耐久性が高い。,1,1
13,フランベルジュ,weapon,rare,0,999,0,100,100,0,0,0,15,0,0,25,60,5,0,0,0,,,,,,蛇行剣とも言われる。\n炎の力を宿す。,1,1
14,グレートソード,weapon,rare,0,999,0,100,100,0,0,0,30,0,0,10,55,0,0,0,15,,,,,,ただただ大きい剣。\n相手を叩き斬る。,1,1
15,フラガラッハ,weapon,epic,0,999,0,100,100,0,0,0,20,0,2,25,60,0,0,30,0,,,,,,嵐の力を纏う宝剣。\n速度が大きく上がる。,1,1
16,ミラーブレイド,weapon,rare,0,999,0,100,100,0,0,0,15,0,0,25,50,0,15,0,0,,,,,,表面が氷のように冷たい。\n水属性武器。,1,1
17,十拳剣,weapon,epic,0,999,0,100,100,0,0,0,35,0,1,25,70,30,0,0,0,,,,,,神代の剣。\n炎を自在に操る力を持つ。,1,1
18,宵闇のローブ,armor,epic,0,999,0,100,100,0,0,35,0,25,1,0,0,0,0,0,15,,,,,,とても軽いのに丈夫。\n炎を飲み込む漆黒,1,1
19,聖騎士の兜,armor,epic,0,999,0,100,100,0,0,25,0,35,1,0,0,15,0,0,0,,,,,,太陽の神に愛されている。\n強力な火属性を持つ。,1,1
20,骸骨ヘルム,armor,epic,0,999,0,100,100,0,0,20,0,40,0,0,0,0,15,0,0,,,,,,骸骨のような兜。\n凍えるように冷たい。,1,1
21,桃色の髪飾り,armor,epic,0,999,0,100,100,0,0,20,0,20,2,0,0,0,0,15,0,,,,,,風の精霊の髪飾り。\n速度が上がる。,1,1
22,部族の首飾り,accessory,rare,0,999,0,100,100,0,0,7,5,2,2,0,0,0,0,0,10,,,,,,土属性攻撃とHPが上がる。,1,1
23,星のしずく,accessory,rare,0,999,0,100,100,0,0,5,5,5,2,0,0,0,0,0,0,,,,,,全体的に高水準な首飾り。,1,1
24,ルビーリング,accessory,rare,0,999,0,100,100,0,0,2,7,2,2,0,0,10,0,0,0,,,,,,火属性攻撃と攻撃が上がる。,1,1
25,サファイアリング,accessory,rare,0,999,0,100,100,0,0,2,2,7,2,0,0,0,10,0,0,,,,,,水属性攻撃と防御が上がる。,1,1
26,ホウオウの羽,accessory,epic,0,999,0,100,100,0,0,10,20,10,4,0,0,20,0,0,0,,,,,,,,
27,ヤタガラスの羽,accessory,epic,0,999,0,100,100,0,0,10,15,15,4,0,0,0,20,0,0,,,,,,,,
28,精霊の宝玉,accessory,epic,0,999,0,100,100,0,0,10,10,10,6,0,0,0,0,20,0,,,,,,,,
29,大地の宝玉,accessory,epic,0,999,0,100,100,0,0,20,10,10,4,0,0,0,0,0,20,,,,,,,,
