support_item_id,support_item_name,attribute_type,rarity,Infinite _use,max_stack_value,add_enhanced_value,multipl_enhanced_value,reduce_enhanced_value,add_enhance_stamina,reduce_enhance_stamina,add_enhance_success_rate,reduce_enhance_success_rate,multipl_status_up,hp,offense,defense,speed,critical_rate,critical_damage_rate,fire_offence,water_offence,wind_offence,earth_offence,support_item_icon_path,description,completion_flag,collection_flag
0,使用しない,normal,common,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,null,0,0
1,古びたコイン,normal,common,0,999,0,1,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,,古いコイン。\n成功率が増加する。,1,1
2,輝くコイン,normal,rare,0,999,0,1,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,,きれいなコイン。\n成功率が大幅に増加する。,1,1
3,保護スクロール,normal,epic,0,999,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,強化耐久の減少を抑える\n特殊なスクロール。\n貴重品。,1,1
4,怪しい薬,normal,epic,0,999,0,2,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,,成功率が下がるが、\n強化値とステータスの増加量を\n2倍にする。,1,1
5,輝く薬,normal,epic,0,999,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,強化値が追加で5増える。\nスキル習得に便利。,1,1
6,赤いフラスコ,normal,rare,0,999,0,1,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,,成功率が5%下がる代わりに\n火属性攻撃が3増える。,,
7,青いフラスコ,normal,rare,0,999,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,,成功率が5%下がる代わりに\n水属性攻撃が3増える。,,
8,緑のフラスコ,normal,rare,0,999,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,,成功率が5%下がる代わりに\n風属性攻撃が3増える。,,
9,橙のフラスコ,normal,rare,0,999,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,,成功率が5%下がる代わりに\n土属性攻撃が3増える。,,
